"name","version","license"
"addr2line","0.24.2","Apache-2.0 OR MIT"
"adler2","2.0.1","0BSD OR MIT OR Apache-2.0"
"ahash","0.8.12","MIT OR Apache-2.0"
"aho-corasick","1.1.3","Unlicense OR MIT"
"allocator-api2","0.2.21","MIT OR Apache-2.0"
"android-tzdata","0.1.1","MIT OR Apache-2.0"
"android_system_properties","0.1.5","MIT/Apache-2.0"
"anyhow","1.0.98","MIT OR Apache-2.0"
"ark-bn254","0.5.0","MIT OR Apache-2.0"
"ark-crypto-primitives","0.5.0","MIT/Apache-2.0"
"ark-crypto-primitives-macros","0.5.0","MIT/Apache-2.0"
"ark-ec","0.5.0","MIT OR Apache-2.0"
"ark-ff","0.5.0","MIT OR Apache-2.0"
"ark-ff-asm","0.5.0","MIT OR Apache-2.0"
"ark-ff-macros","0.5.0","MIT OR Apache-2.0"
"ark-groth16","0.5.0","MIT/Apache-2.0"
"ark-poly","0.5.0","MIT OR Apache-2.0"
"ark-r1cs-std","0.5.0","MIT/Apache-2.0"
"ark-relations","0.5.1","MIT/Apache-2.0"
"ark-serialize","0.5.0","MIT OR Apache-2.0"
"ark-serialize-derive","0.5.0","MIT OR Apache-2.0"
"ark-snark","0.5.1","MIT/Apache-2.0"
"ark-std","0.5.0","MIT/Apache-2.0"
"arraydeque","0.5.1","MIT/Apache-2.0"
"arrayvec","0.7.6","MIT OR Apache-2.0"
"autocfg","1.5.0","Apache-2.0 OR MIT"
"backtrace","0.3.75","MIT OR Apache-2.0"
"base64","0.22.1","MIT OR Apache-2.0"
"base64ct","1.8.0","Apache-2.0 OR MIT"
"benchmarks","0.1.0","Apache-2.0"
"bincode","1.3.3","MIT"
"bit-set","0.8.0","Apache-2.0 OR MIT"
"bit-vec","0.8.0","Apache-2.0 OR MIT"
"bitflags","1.3.2","MIT/Apache-2.0"
"bitflags","2.9.1","MIT OR Apache-2.0"
"blake2","0.10.6","MIT OR Apache-2.0"
"block","0.1.6","MIT"
"block-buffer","0.10.4","MIT OR Apache-2.0"
"bonsai-sdk","1.4.2","Apache-2.0"
"borsh","1.5.7","MIT OR Apache-2.0"
"borsh-derive","1.5.7","Apache-2.0"
"bumpalo","3.19.0","MIT OR Apache-2.0"
"bytemuck","1.23.1","Zlib OR Apache-2.0 OR MIT"
"bytemuck_derive","1.8.1","Zlib OR Apache-2.0 OR MIT"
"byteorder","1.5.0","Unlicense OR MIT"
"bytes","1.10.1","MIT"
"camino","1.1.10","MIT OR Apache-2.0"
"cargo-platform","0.1.9","MIT OR Apache-2.0"
"cargo_metadata","0.19.2","MIT"
"cc","1.2.31","MIT OR Apache-2.0"
"cfg-if","1.0.1","MIT OR Apache-2.0"
"cfg_aliases","0.2.1","MIT"
"chrono","0.4.41","MIT OR Apache-2.0"
"cobs","0.3.0","MIT OR Apache-2.0"
"const-oid","0.9.6","Apache-2.0 OR MIT"
"contract-core","0.1.0","Apache-2.0"
"core-foundation","0.9.4","MIT OR Apache-2.0"
"core-foundation-sys","0.8.7","MIT OR Apache-2.0"
"core-graphics-types","0.1.3","MIT OR Apache-2.0"
"cpufeatures","0.2.17","MIT OR Apache-2.0"
"crypto-common","0.1.6","MIT OR Apache-2.0"
"csv","1.3.1","Unlicense/MIT"
"csv-core","0.1.12","Unlicense/MIT"
"darling","0.20.11","MIT"
"darling","0.21.3","MIT"
"darling_core","0.20.11","MIT"
"darling_core","0.21.3","MIT"
"darling_macro","0.20.11","MIT"
"darling_macro","0.21.3","MIT"
"der","0.7.10","Apache-2.0 OR MIT"
"deranged","0.5.4","MIT OR Apache-2.0"
"derivative","2.2.0","MIT/Apache-2.0"
"derive_builder","0.20.2","MIT OR Apache-2.0"
"derive_builder_core","0.20.2","MIT OR Apache-2.0"
"derive_builder_macro","0.20.2","MIT OR Apache-2.0"
"derive_more","2.0.1","MIT"
"derive_more-impl","2.0.1","MIT"
"digest","0.10.7","MIT OR Apache-2.0"
"dirs","6.0.0","MIT OR Apache-2.0"
"dirs-sys","0.5.0","MIT OR Apache-2.0"
"displaydoc","0.2.5","MIT OR Apache-2.0"
"docker-generate","0.1.3","MIT"
"downcast-rs","1.2.1","MIT/Apache-2.0"
"duplicate","2.0.0","MIT OR Apache-2.0"
"dyn-clone","1.0.20","MIT OR Apache-2.0"
"educe","0.6.0","MIT"
"either","1.15.0","MIT OR Apache-2.0"
"elf","0.7.4","MIT/Apache-2.0"
"embedded-io","0.4.0","MIT OR Apache-2.0"
"embedded-io","0.6.1","MIT OR Apache-2.0"
"encoding_rs","0.8.35","(Apache-2.0 OR MIT) AND BSD-3-Clause"
"enum-ordinalize","4.3.0","MIT"
"enum-ordinalize-derive","4.3.1","MIT"
"equivalent","1.0.2","Apache-2.0 OR MIT"
"errno","0.3.13","MIT OR Apache-2.0"
"fastrand","2.3.0","Apache-2.0 OR MIT"
"fnv","1.0.7","Apache-2.0 / MIT"
"foldhash","0.1.5","Zlib"
"foreign-types","0.5.0","MIT/Apache-2.0"
"foreign-types-macros","0.2.3","MIT/Apache-2.0"
